Accession	Unnamed: 0	Organism_Name	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Isolation_Source	date	BioSample	GenBank_Title	Division
JF357959.1	2832	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Mus/BID-V4999/brain	Orthoflavivirus nilense	10546	complete	?	?	?	Mus musculus	brain	?	?	West Nile virus isolate WNV-1/Mus/BID-V4999/brain, complete genome	Illinois
JF899531.1	2716	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-05-17T00:00:00Z	WNV-1/Mus/BID-V4979/serum	Orthoflavivirus nilense	10623	complete	?	?	?	Mus musculus	blood	?	?	West Nile virus isolate WNV-1/Mus/BID-V4979/serum, complete genome	New York
KR348953.1	1919	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	GRLA_6006_2008	Orthoflavivirus nilense	10299	partial	?	?	?	Culex quinquefasciatus	?	2008-09-25	?	West Nile virus isolate GRLA_6006_2008 polyprotein gene, partial cds	?
JN819307.1	2645	West Nile virus	?	Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2012-02-08T00:00:00Z	WNV-1/BID-V5032	Orthoflavivirus nilense	10584	complete	?	?	?	?	?	?	?	West Nile virus isolate WNV-1/BID-V5032, complete genome	Medellin
FV537223.1	3095	West Nile virus	?	Millar,D.S., Meruki,J.R.	?	?	2010-03-18T00:00:00Z	?	Orthoflavivirus nilense	10962	partial	?	?	?	?	?	?	?	Modified Microbial Nucleic Acid	?
HQ671694.1	2806	West Nile virus	?	Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Nusbaum,C., Kramer,L., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Gallus/BID-V4963/kidney	Orthoflavivirus nilense	10613	complete	?	?	?	Gallus gallus	kidney, abdominal cavity	?	?	West Nile virus isolate WNV-1/Gallus/BID-V4963/kidney, complete genome	?
HQ671734.1	2811	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Mus/BID-V5143/brain	Orthoflavivirus nilense	9848	partial	?	?	?	Mus musculus	brain	?	?	West Nile virus isolate WNV-1/Mus/BID-V5143/brain, partial genome	?
MT840693.1	78	West Nile virus	?	Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.	University of Texas Medical Branch, Pathology	USA	2023-03-26T00:00:00Z	TWN3137	Orthoflavivirus nilense	11034	partial	?	?	?	?	?	?	?	West Nile virus isolate TWN3137 polyprotein gene, complete cds	?
KR348986.1	1952	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	KERN_348_2007	Orthoflavivirus nilense	10207	partial	?	?	?	Culex tarsalis	?	2007-08-14	?	West Nile virus isolate KERN_348_2007 polyprotein gene, partial cds	?
HQ891009.1	2826	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Mus/BID-V4980/serum	Orthoflavivirus nilense	10584	complete	?	?	?	Mus musculus	blood	?	?	West Nile virus isolate WNV-1/Mus/BID-V4980/serum, complete genome	Illinois
MT840697.1	82	West Nile virus	?	Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.	University of Texas Medical Branch, Pathology	USA	2023-03-26T00:00:00Z	TWN3179	Orthoflavivirus nilense	11024	partial	?	?	?	?	?	?	?	West Nile virus isolate TWN3179 polyprotein gene, complete cds	?
KR348923.1	1889	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	COAV_1023_2003	Orthoflavivirus nilense	10299	partial	?	?	?	Culex tarsalis	?	2003-08-19	?	West Nile virus isolate COAV_1023_2003 polyprotein gene, partial cds	?
AY268132.1	3254	West Nile virus	?	Charrel,R.N., Brault,A.C., Gallian,P., Lemasson,J.-J., Murgue,B., Murri,S., Pastorino,B., Zeller,H., de chesse,R., de Micco,P., de Lamballerie,X., Lemasson,J., Dechesse,R.	Medical University, Virology	France	2003-11-03T00:00:00Z	?	Orthoflavivirus nilense	10989	partial	?	?	?	?	?	?	?	West Nile virus strain PaAn001 polyprotein (pol) gene, complete cds	?
KR349000.1	1966	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	SAYO_4541_2008	Orthoflavivirus nilense	10135	partial	?	?	?	Culex tarsalis	?	2008-07-25	?	West Nile virus isolate SAYO_4541_2008 polyprotein gene, partial cds	?
KR348958.1	1924	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	GRLA_6246_2011	Orthoflavivirus nilense	10299	partial	?	?	?	Culex quinquefasciatus	?	2011-02-09	?	West Nile virus isolate GRLA_6246_2011 polyprotein gene, partial cds	?
JN183896.1	2679	West Nile virus	?	Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Deardorff,E.R., Ebel,G.D., Nusbaum,C., Ebel,G., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-10-11T00:00:00Z	WNV-1/Culex/BID-V5776/midgut	Orthoflavivirus nilense	10622	complete	?	?	?	Culex	abdominal cavity	?	?	West Nile virus isolate WNV-1/Culex/BID-V5776/midgut, complete genome	Illinois
D00246.1	3278	Kunjin virus	?	Coia,G., Parker,M.D., Speight,G., Byrne,M.E., Westaway,E.G.	?	?	1993-04-29T00:00:00Z	?	Orthoflavivirus nilense	10664	partial	?	?	?	?	?	?	?	Kunjin virus gene for polyprotein (C, prM, E, NS1, NS2A, NS2B, NS3, NS4A, NS4B, NS5), complete cds	New York
HQ671684.1	2796	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Mus/BID-V5007/brain	Orthoflavivirus nilense	10584	complete	?	?	?	Mus musculus	brain	?	?	West Nile virus isolate WNV-1/Mus/BID-V5007/brain, complete genome	?
JN819314.1	2652	West Nile virus	?	Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2012-02-08T00:00:00Z	WNV-1/BID-V5041	Orthoflavivirus nilense	10413	partial	?	?	?	?	?	?	?	West Nile virus isolate WNV-1/BID-V5041, partial genome	Medellin
KR349006.1	1972	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	SAYO_4740_2011	Orthoflavivirus nilense	10263	partial	?	?	?	Culex pipiens	?	2011-01-09	?	West Nile virus isolate SAYO_4740_2011 polyprotein gene, partial cds	?
JN819320.1	2658	West Nile virus	?	Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2012-02-08T00:00:00Z	WNV-1/BID-V5048	Orthoflavivirus nilense	10414	complete	?	?	?	Aves	?	?	?	West Nile virus isolate WNV-1/BID-V5048, complete genome	Medellin
FV537224.1	3096	West Nile virus	?	Millar,D.S., Meruki,J.R.	?	?	2010-03-18T00:00:00Z	?	Orthoflavivirus nilense	10962	partial	?	?	?	?	?	?	?	Modified Microbial Nucleic Acid	?
MT840698.1	83	West Nile virus	?	Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.	University of Texas Medical Branch, Pathology	USA	2023-03-26T00:00:00Z	TWN3184	Orthoflavivirus nilense	11029	partial	?	?	?	?	?	?	?	West Nile virus isolate TWN3184 polyprotein gene, complete cds	?
KR348960.1	1926	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	GRLA_6249_2011	Orthoflavivirus nilense	10299	partial	?	?	?	Culex quinquefasciatus	?	2011-02-09	?	West Nile virus isolate GRLA_6249_2011 polyprotein gene, partial cds	?
KR349017.1	1983	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	SHAS_125_2007	Orthoflavivirus nilense	10135	partial	?	?	?	Culex pipiens	?	2007-07-25	?	West Nile virus isolate SHAS_125_2007 polyprotein gene, partial cds	?
MA388207.1	1276	West Nile virus	?	Hagen,C.J., Mason,P.W., Shahinian,P., Yu,D.	?	?	2018-10-30T00:00:00Z	?	Orthoflavivirus nilense	8839	partial	?	?	?	?	?	?	?	JP 2018513673-A/1: FLAVIVIRUS REPLICONS	GA, Dekalb County County
KR348979.1	1945	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	KERN_175_2004	Orthoflavivirus nilense	10135	partial	?	?	?	Culex quinquefasciatus	?	2004-07-13	?	West Nile virus isolate KERN_175_2004 polyprotein gene, partial cds	?
HQ705673.1	2820	West Nile virus	?	Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brown,I.K., Ebel,G.D., Pesko,K., Nusbaum,C., Ebel,G., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Culex/BID-V4169/midgut	Orthoflavivirus nilense	10621	complete	?	?	?	Culex quinquefasciatus	abdominal cavity	?	?	West Nile virus isolate WNV-1/Culex/BID-V4169/midgut, complete genome	Illinois
KR348948.1	1914	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	COAV_939_2004	Orthoflavivirus nilense	10299	partial	?	?	?	Culex quinquefasciatus	?	2004-08-16	?	West Nile virus isolate COAV_939_2004 polyprotein gene, partial cds	?
KR348945.1	1911	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	COAV_339_2004	Orthoflavivirus nilense	10299	partial	?	?	?	Culex tarsalis	?	2004-04-28	?	West Nile virus isolate COAV_339_2004 polyprotein gene, partial cds	?
KR349022.1	1988	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	GRLA_6251_2011	Orthoflavivirus nilense	10215	partial	?	?	?	Culex quinquefasciatus	?	2011-02-09	?	West Nile virus isolate GRLA_6251_2011 polyprotein gene, partial cds	?
AB185915.2	3249	West Nile virus	?	Shirato,K., Miyoshi,H., Goto,A., Ako,Y., Ueki,T., Kariwa,H., Takashima,I.	Ikuo Takashima, Graduate School of Veterinary Medicine, Hokkaido University, Laboratory of Public Health, Depertment of Environmental Veterinary Medicine; Kita-19 Nishi-9, Kita-ku, Sapporo, Hokkaido 060-0818	Japan	2004-07-30T00:00:00Z	6-SP	Orthoflavivirus nilense	11029	partial	?	?	?	?	?	?	?	West Nile virus gene for polyprotein precursor protein, complete cds, isolate: 6-SP	?
HQ891013.1	2830	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Mus/BID-V5122/serum	Orthoflavivirus nilense	10584	complete	?	?	?	Mus musculus	blood	?	?	West Nile virus isolate WNV-1/Mus/BID-V5122/serum, complete genome	Illinois
HW816192.1	2011	West Nile virus	?	Hayes,P.W., Hennessy,K.J.	?	?	2015-05-27T00:00:00Z	?	Orthoflavivirus nilense	11029	partial	?	?	?	?	?	?	?	JP 2015028058-A/23: WEST NILE VIRUS	?
HQ671672.1	2784	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Mus/BID-V4921/spleen	Orthoflavivirus nilense	10610	complete	?	?	?	Mus musculus	spleen, abdominal cavity	?	?	West Nile virus isolate WNV-1/Mus/BID-V4921/spleen, complete genome	?
JF730040.1	2775	West Nile virus	?	Henn,M.R., Newman,R.M., Brien,J., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Brien,J.D., Diamond,M.S., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-04-19T00:00:00Z	WNV-1/Mus/BID-V4982/serum	Orthoflavivirus nilense	10584	complete	?	?	?	Mus musculus	blood	?	?	West Nile virus isolate WNV-1/Mus/BID-V4982/serum, complete genome	New York
KR348955.1	1921	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	GRLA_6143_2007	Orthoflavivirus nilense	10299	partial	?	?	?	Culex quinquefasciatus	?	2007-05-12	?	West Nile virus isolate GRLA_6143_2007 polyprotein gene, partial cds	?
