Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OQ214888.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-06-13T00:00:00Z,Kalmikia 499/22,Orthoflavivirus nilense,10901,complete,Russia: Kalmikia,Russia,,Culex pipiens,,2022,,"West Nile virus isolate Kalmikia 499/22, complete genome"
OQ214889.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-06-13T00:00:00Z,Stavropol 1451/22,Orthoflavivirus nilense,10980,complete,Russia: Stavropol,Russia,,Culex pipiens,,2022,,"West Nile virus isolate Stavropol 1451/22, complete genome"
OQ214890.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-06-13T00:00:00Z,Volgograd 1031/22,Orthoflavivirus nilense,10980,complete,Russia: Volgograd,Russia,,Culex pipiens,,2022,,"West Nile virus isolate Volgograd 1031/22, complete genome"
OQ214891.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-06-13T00:00:00Z,Volgograd 912/22,Orthoflavivirus nilense,10980,complete,Russia: Volgograd,Russia,,Culex pipiens,,2022,,"West Nile virus isolate Volgograd 912/22, complete genome"
OP850021.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10963,partial,Italy:Lombardy,Italy,,Corvus cornix,,2022-09-12,,"West Nile virus strain 2022.TE.49076.2.10 polyprotein gene, complete cds"
OP850022.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10966,partial,Italy:Veneto,Italy,,Pica pica,,2022-08-12,,"West Nile virus strain 2022.TE.48124.2.3 polyprotein gene, complete cds"
OP850023.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10960,partial,Italy:Campania,Italy,,Equus caballus,,2022-10-03,,"West Nile virus strain 2022.TE.48124.2.1 polyprotein gene, complete cds"
OP850024.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10913,partial,Italy:Emilia Romagna,Italy,,,,2022-08-04,,"West Nile virus strain 2022.TE.44233.2.23 polyprotein gene, complete cds"
OP850025.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10913,partial,Italy:Piedmont,Italy,,Anopheles maculipennis,,2022-08-24,,"West Nile virus strain 2022.TE.45323.2.22 polyprotein gene, complete cds"
OP850026.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10913,partial,Italy:Friuli Venezia Giulia,Italy,,Culex pipiens,,2022-09-01,,"West Nile virus strain 2022.TE.45323.2.29 polyprotein gene, complete cds"
OP850027.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10873,partial,Italy:Piedmont,Italy,,Corvus cornix,,2021-08-10,,"West Nile virus strain 2022.TE.49076.2.6 polyprotein gene, complete cds"
OP850028.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10902,partial,Italy:Emilia Romagna,Italy,,Pica pica,,2021-08-20,,"West Nile virus strain 2022.TE.49076.2.7 polyprotein gene, complete cds"
OP850029.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,,Orthoflavivirus nilense,10915,partial,Italy:Emilia Romagna,Italy,,Sylvia atricapilla,,2021-10-24,,"West Nile virus strain 2022.TE.49076.2.8 polyprotein gene, complete cds"
OP804520.1,West Nile virus,,"Niczyporuk,J.S. Sr.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,2023-05-22T00:00:00Z,WNV-5,Orthoflavivirus nilense,11003,complete,Poland,Poland,,Corvus cornix,,2022-10,,"West Nile virus isolate WNV-5, complete genome"
OP734238.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10892,complete,Italy: Emilia Romagna,Italy,,Pica pica,,2022-08-10,,"West Nile virus strain 2022.TE.44233.2.6, complete genome"
OP734239.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10912,complete,Italy: Emilia Romagna,Italy,,Corvus cornix,,2022-08-10,,"West Nile virus strain 2022.TE.44233.2.11, complete genome"
OP734240.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10913,complete,Italy: Piemonte,Italy,,Culex pipiens,,2022-08-18,,"West Nile virus strain 2022.TE.44233.2.24, complete genome"
OP734241.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10912,complete,Italy: Piemonte,Italy,,Culex pipiens,,2022-08-25,,"West Nile virus strain 2022.TE.44233.2.29, complete genome"
OP734242.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10878,complete,Italy: Emilia Romagna,Italy,,Athene noctua,,2022-08-31,,"West Nile virus strain 2022.TE.45323.2.17, complete genome"
OP734243.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10879,complete,Italy: Emilia Romagna,Italy,,Culex pipiens,,2022-09-02,,"West Nile virus strain 2022.TE.45323.2.21, complete genome"
OP734244.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10914,complete,Italy: Veneto,Italy,,Passer domesticus,,2022-09-09,,"West Nile virus strain 2022.TE.45323.2.33, complete genome"
OP734262.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10975,partial,Italy: Veneto,Italy,,Culex pipiens,,2022-06-21,,"West Nile virus strain 2022.TE.40159.2.3 polyprotein gene, complete cds"
OP734263.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10967,partial,Italy: Veneto,Italy,,Culex pipiens,,2022-07-07,,"West Nile virus strain 2022.TE.41224.2.8 polyprotein gene, complete cds"
OP734264.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,11016,partial,Italy: Veneto,Italy,,Pica pica,,2022-06-28,,"West Nile virus strain 2022.TE.41224.2.16 polyprotein gene, complete cds"
OP734265.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10961,partial,Italy: Veneto,Italy,,Phalacrocorax carbo,,2022-07-07,,"West Nile virus strain 2022.TE.41400.2.5 polyprotein gene, complete cds"
OP734266.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10963,partial,Italy: Emilia Romagna,Italy,,Culex pipiens,,2022-07-12,,"West Nile virus strain 2022.TE.41400.1.3 polyprotein gene, complete cds"
OP734267.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10962,partial,Italy: Emilia Romagna,Italy,,Culex pipiens,,2022-07-12,,"West Nile virus strain 2022.TE.41400.2.4 polyprotein gene, complete cds"
OP734268.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10960,partial,Italy: Veneto,Italy,,Culex pipiens,,2022-07-07,,"West Nile virus strain 2022.TE.41224.2.10 polyprotein gene, complete cds"
OP734269.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10966,partial,Italy: Veneto,Italy,,,,2022-07-18,,"West Nile virus strain 2022.TE.42275.2.20 polyprotein gene, complete cds"
OP734270.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10956,partial,Italy: Emilia Romagna,Italy,,Culex pipiens,,2022-07-19,,"West Nile virus strain 2022.TE.42275.2.11 polyprotein gene, complete cds"
OP734271.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10960,partial,Italy: Veneto,Italy,,Corvus cornix,,2022-07-13,,"West Nile virus strain 2022.TE.42275.2.10 polyprotein gene, complete cds"
OP734272.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10962,partial,Italy: Veneto,Italy,,Passer domesticus,,2022-07-04,,"West Nile virus strain 2022.TE.42275.2.18 polyprotein gene, complete cds"
OP734273.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10949,partial,Italy: Friuli Venezia Giulia,Italy,,Culex pipiens,,2022-07-21,,"West Nile virus strain 2022.TE.42275.2.13 polyprotein gene, partial cds"
OP734274.1,West Nile virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-05-09T00:00:00Z,,Orthoflavivirus nilense,10966,partial,Italy: Veneto,Italy,,Culex pipiens,,2022-07-14,,"West Nile virus strain 2022.TE.42275.2.6 polyprotein gene, partial cds"
OP422646.1,West Nile virus,,"Neto,J.P.N., Reis,L.A.M., Freitas,M.N.O., do Nascimento,B.L.S., das Chagas,L.L., da Costa,H.H.M., Rodrigues,J.C.P., Braga,C.M., da Silva,E.V.P., Silva,S.P., Martins,L.C.","Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers",Brazil,2023-05-08T00:00:00Z,Ar848804,Orthoflavivirus nilense,11050,partial,Brazil,Brazil,,Culex,,2017-03,,"West Nile virus isolate Ar848804 polyprotein gene, complete cds"
OP617270.1,West Nile virus,,"Bayrakdar,F.","Public Health Institution of Turkey, Virology",Turkey,2023-05-02T00:00:00Z,WNV/Turkey/HSGM136s/2018,Orthoflavivirus nilense,10978,complete,Turkey,Turkey,,Homo sapiens,,2018,,"West Nile virus isolate WNV/Turkey/HSGM136s/2018, complete genome"
OP345085.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Voronezh 794/21,Orthoflavivirus nilense,11044,complete,Russia: Voronezh,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Voronezh 794/21, complete genome"
OP345086.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 843/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 843/21, complete genome"
OP345087.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 840/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 840/21, complete genome"
OP345088.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 839/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 839/21, complete genome"
OP345089.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 832/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 832/21, complete genome"
OP345090.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 830/21,Orthoflavivirus nilense,11029,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 830/21, complete genome"
OP345091.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 829/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 829/21, complete genome"
OP345092.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgogard 787/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgogard 787/21, complete genome"
OP345093.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 703/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 703/21, complete genome"
OP345094.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 701/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Volgograd 701/21, complete genome"
OP345095.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 439/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex modestus,,2021,,"West Nile virus isolate Volgograd 439/21, complete genome"
OP345096.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 437/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex modestus,,2021,,"West Nile virus isolate Volgograd 437/21, complete genome"
OP345097.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 72/21,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Hyalomma marginatum,,2021,,"West Nile virus isolate Volgograd 72/21, complete genome"
